page,current wording,current visual treatment,disposition,replacement wording,reason,capability-specific disclosure required,Trust Center migration required,evidence/source-of-truth reference
"All platform routes (Layout.jsx / ReleaseStatusBanner)","Independent assessment: NO-GO for external release of the assessed vNext revision. Read the decision.","Rose/red full-width alert bar with alert icon, fixed under navbar","REWRITE","FEUS.ai is an operationally validated, governance-first AI Data Operations platform. FEUS.ai publishes per-capability status, environment scope, and supporting evidence. Capability status.","An exact-revision release decision was rendered as sitewide product positioning in error treatment. Reframed as a neutral informational wayfinding strip; the decision itself is preserved unchanged on the Trust Center.","No","Yes","POSTURE.shortStatement + POSTURE.statusStripNote; decision preserved at RELEASE_ASSESSMENT.decision"
"/ (HomePage) — PlatformSection footnote","The assessed vNext release is NO-GO for external deployment above LOCAL.","Small muted footnote below platform CTAs","REMOVE","Capability availability may vary by deployment, environment, integration, and customer configuration. Capability status.","Product-wide negative framing derived from a single-revision decision. Replaced with an accurate scope qualifier plus a route to full detail.","No","Yes","POSTURE.availabilityQualifier; RELEASE_ASSESSMENT retains the decision"
"/ (HomePage) — PlatformSection body","Operationally validated core; capability-specific limits apply; release remains NO-GO above LOCAL.","Body paragraph, muted","REWRITE","FEUS.ai combines governed AI orchestration, database operations, assurance, evidence, and automation in a unified enterprise platform. Built around policy enforcement, least privilege, approvals, auditability, and evidence-backed operations. New capabilities follow a controlled validation lifecycle before broader availability.","Homepage is a positioning surface. Value and architecture lead; lifecycle is stated as a controlled process rather than a warning.","No","No","POSTURE.valueStatement / architectureStatement / lifecycleStatement"
"/ (HomePage) — product family cards","Controlled enterprise adoption · vNext dispatch in preview","Amber uppercase tracking-wide label","REWRITE","Unchanged text, neutral treatment","Amber implies caution. Preview is a normal lifecycle state, not a caution state.","Yes","No","PRODUCT_FAMILIES[].statusLine"
"/feus-ai (FeusAiPage) — status banner","Independent assessment: NO-GO for external release of the assessed vNext revision.","Rose/red full-width alert bar","REMOVE","No banner. Hero padding increased to pt-32 to compensate for the removed spacer.","The primary product page is the single most adoption-critical surface. A release-gate banner above the hero contradicted the page's purpose.","No","Yes","RELEASE_ASSESSMENT rendered on /status and /trust"
"/feus-ai (FeusAiPage) — hero","Governed AI Data Operations platform with an operationally validated core and capability-specific preview boundaries.","Hero heading and subheading","REWRITE","Governed AI for Data Operations. FEUS.ai brings policy-aware AI orchestration, database operations, assurance, and automation into one governed experience. From Hello FEUS onboarding to day-to-day operational workflows, FEUS coordinates the right agents, tools, policies, approvals, and evidence behind a unified chat-first experience.","Hero now leads with outcome and experience rather than with boundary language.","No","No","POSTURE.headline; approved hero direction"
"/feus-ai (FeusAiPage) — ReleaseDecision block","NO-GO decision, certified revision, assessment scope","Rose-bordered panel mid-page","MOVE TO TRUST CENTER","Section removed from the product page; retained verbatim on /trust and /status.","Exact-revision certification detail is layer 3 content, not product positioning.","No","Yes","RELEASE_ASSESSMENT.* rendered by ReleaseDecision on /trust"
"/feus-ai (FeusAiPage) — CapabilityStatusTable","Full public capability table (0 of 45 production verified)","Dense matrix table","MOVE TO TRUST CENTER","Relocated to /status under the heading 'Exact-revision capability matrix'.","The matrix is assurance evidence. It is preserved in full and is one click away.","No","Yes","PUBLIC_CAPABILITIES; rendered on StatusPage"
"/feus-ai (FeusAiPage) — KnownLimitationList","Twelve known limitations including NO-GO above LOCAL","Bulleted list under a warning heading","MOVE TO TRUST CENTER","Removed from the product page; retained in full on /trust and /status.","Legitimate disclosure in the wrong layer. Nothing was deleted.","No","Yes","KNOWN_LIMITATIONS (12 items, unchanged)"
"/feus-ai (FeusAiPage) — CTAs","Read the assessment / View limitations","Secondary, boundary-oriented","REWRITE","Discuss enterprise adoption / Request a demo / Explore the agent portfolio, plus a new 'Evaluate FEUS.ai for your environment' section with a Trust Center pointer","Adoption CTAs must be the prominent action on the product page; the Trust Center remains reachable but is no longer the primary call.","No","No","Site IA; /contact, /demo, /agents, /trust"
