capability,public label,disclosure layer,public disclosure surface,approved public wording,environment scope,restriction disclosed,next milestone,may appear on marketing surfaces,source of truth
"SQL Server governed operations (FEUS SQLOps)","Controlled enterprise adoption","2 + 3","/sqlops, /status, /trust","Governed SQL Server operations through mandatory policy, identity, PII, approval, execution, and audit controls.","Named enterprise scope after target qualification","The separate vNext dispatcher and Protected Execution Service path remains unbound.","Bind and validate the vNext dispatcher and executor against an approved target.","Yes — positioning only; the dispatcher restriction stays on /sqlops and the Trust Center","AGENT_PORTFOLIO['sqlops']; CAPABILITY_LIFECYCLE"
"Governance engine and seven-gate execution gateway","Operationally validated","1 + 3","/feus-ai, /architecture, /status, /trust","Policy enforcement, least privilege, approvals, auditability, and evidence-backed operations across seven sequential gates.","Named FEUS or customer-controlled scope after environment qualification","Repeatable target-environment qualification and current-version release evidence are still required.","Repeatable target-environment qualification and current-version release evidence.","Yes","CAPABILITY_LIFECYCLE 'Governance engine and seven-gate execution gateway'"
"Governed operator experience (FEUS Copilot)","Available with constraints","2 + 3","/copilot, /status, /trust","An authenticated operator experience for governed analysis and approved operational workflows.","Authenticated FEUS or customer-controlled operator context","The public website does not expose a working assistant, and model-provider invocation remains disabled in the assessed vNext path.","Qualify an approved model-provider gateway and customer-specific identity boundary.","Yes — must not imply a live public assistant","AGENT_PORTFOLIO['copilot']"
"Policy, PII, approval, and identity controls","Operationally validated with constraints","3","/trust, /trust/security, /status","Mandatory policy evaluation, PII interception, approval binding, and identity resolution ahead of execution.","Capability and target specific","Attested key custody, durable approval storage, and independent negative-path validation are outstanding.","Attested key custody, durable approval storage, and independent negative-path validation.","Positioning only; control detail stays on the Trust Center","CAPABILITY_LIFECYCLE"
"Audit and evidence framework","Operationally validated with constraints","3","/trust, /assurance, /architecture","Hash-chained audit events and evidence capture for governed operations.","Approved local or enterprise evidence stores","Keyed or signed external anchoring plus durable sink and recovery evidence are outstanding.","Keyed or signed external anchoring plus durable sink and recovery evidence.","Positioning only","CAPABILITY_LIFECYCLE"
"Synthetic data capabilities","Available in restricted environments","2 + 3","/status, /trust","Governed synthetic dataset generation for test and evaluation workflows.","LOCAL and TST only unless a narrower deployment approval states otherwise","Scale and statistical-resemblance validation on an approved representative schema is outstanding.","Scale and statistical-resemblance validation on an approved representative schema.","No — environment restriction must accompany any mention","CAPABILITY_LIFECYCLE 'Synthetic data capabilities'"
"FEUS Recommendation Assurance","Preview","2 + 3","/status, /trust","Assurance scoring and provenance for generated recommendations.","Approved recommendation workflows","Confidence calibration and provenance are not yet validated against an approved model integration.","Validate confidence calibration and provenance against an approved model integration.","No — preview label required at every mention","CAPABILITY_LIFECYCLE. Note: the phrase 'Recommendations Assurance Engine' is a prohibited legacy name."
"ROI tracking and estimate framework","Preview — estimates only","2 + 3","/status, /trust","An estimate framework with disclosed assumptions. Estimates are not measured savings.","Controlled reporting with disclosed assumptions","No customer-approved baseline methodology and no reconciled actual-cost evidence exist.","Customer-approved baseline methodology and reconciled actual-cost evidence.","No — no ROI figure may be published","ROI_STATEMENT; CAPABILITY_LIFECYCLE. 'proven ROI', 'measured savings', and 'guaranteed savings' are gate-blocked."
"vNext Control Plane and Protected Execution dispatch (FEUS Agent Control Plane)","Controlled preview","2 + 3","/control-plane, /status, /trust","Typed work orders, policy-aware routing, specialist handoffs, and fail-closed execution truth for coordinated agents.","In-process evaluation only","No dispatcher, bound executor, or durable multi-replica safety state is established.","Real dispatcher/executor receipt plus durable multi-replica control validation.","No — preview label required","AGENT_PORTFOLIO['control-plane']"
"Oracle Operations Agent (FEUS OracleOps)","Controlled preview","2 + 3","/agents/oracle, /status, /trust","Oracle-native knowledge and observe-only workflows governed by registered templates, target identity checks, and fail-closed policy.","Offline and fixture-based evaluation only","No live Oracle driver, adapter, connection, or compatibility result exists; Tier 3 remains hard-disabled.","Pinned driver, concrete read-only adapter, and approved live Tier 1 smoke test.","No — preview label required; navigation entry reads 'OracleOps — Preview'","AGENT_PORTFOLIO['oracleops']"
"Service Request Agent and governed handoffs (FEUS RequestOps)","Controlled preview","2 + 3","/requestops, /status, /trust","Governed service-request intake, deterministic classification, authorization, handoff, and result verification.","Synthetic or approved non-customer workflows","No live ticket source or bound downstream execution is established in the assessed path.","Approved sandbox connector smoke test and bound governed specialist execution.","No — preview label required","AGENT_PORTFOLIO['requestops']"
"ITSM automation connectors (FEUS ITSM Connect)","Preview","2 + 3","/integrations/itsm, /status, /trust","Governed ServiceNow, Jira Service Management, and Azure DevOps connector contracts with dry-run defaults and closed operations.","Mock transport or approved sandbox with writes disabled","Writes default to disabled; no live production ITSM instance is connected.","Structured-field disclosure control and live sandbox lifecycle validation.","No — preview label required; 'integration ready' is gate-blocked outside the vocabulary file","AGENT_PORTFOLIO['itsm-connect']"
"Model-provider integrations","Externally unverified","2 + 3","/integrations, /architecture, /trust","Architecture for a mandatory model-invocation gateway. Provider invocation is disabled in the assessed path.","Architecture evaluation only","No approved provider adapter, telemetry, or safety validation exists.","Approved provider adapter through a mandatory invocation gateway with telemetry and safety validation.","No — no provider name may be presented as a live integration","MODEL_PROVIDER_STATEMENT; CAPABILITY_LIFECYCLE"
"Additional database engines and deployment integrations","Unavailable","2 + 3","/integrations, /status, /trust","Design-partner discovery for engines and deployment targets beyond the qualified SQL Server path.","Design-partner discovery and non-operational qualification","No adapter, sandbox qualification, or release qualification exists for any additional engine.","Name a target, implement its adapter, and complete sandbox plus release qualification.","No — must not be presented as supported","CAPABILITY_LIFECYCLE"
"Exact-revision release certification (vNext 5.2.0-enterprise.1 @ 3c401504…)","NO-GO for the assessed revision","3 + 4","/trust, /trust/compliance, /status, /release-notes","Session 12D final independent release certification returned NO-GO for the assessed revision, version, environment, and deployment configuration.","Assessed revision and deployment configuration only","Does not authorize external deployment of that revision above LOCAL; does not itself grant or revoke separately documented core capability deployments.","Superseding assessment against a named revision.","No — build-failing outside the Trust Center allowlist","RELEASE_ASSESSMENT"
